path,fruit,quality,class,source,width,height
Fruits/Good Quality_Fruits/Apple_Good/20260529_170142.jpg,Apple,Good,Apple_Good,recolectada,2870,2888
Fruits/Good Quality_Fruits/Apple_Good/20260529_170149.jpg,Apple,Good,Apple_Good,recolectada,2740,2722
Fruits/Good Quality_Fruits/Apple_Good/20260529_170200.jpg,Apple,Good,Apple_Good,recolectada,3024,3024
Fruits/Good Quality_Fruits/Apple_Good/20260529_170209.jpg,Apple,Good,Apple_Good,recolectada,2755,2777
Fruits/Good Quality_Fruits/Apple_Good/20260529_170217.jpg,Apple,Good,Apple_Good,recolectada,2651,2845
Fruits/Good Quality_Fruits/Apple_Good/20260529_170227.jpg,Apple,Good,Apple_Good,recolectada,2452,2535
Fruits/Good Quality_Fruits/Apple_Good/20260529_170243.jpg,Apple,Good,Apple_Good,recolectada,2520,2465
Fruits/Good Quality_Fruits/Apple_Good/20260529_170246.jpg,Apple,Good,Apple_Good,recolectada,2118,2141
Fruits/Good Quality_Fruits/Apple_Good/20260529_170304.jpg,Apple,Good,Apple_Good,recolectada,2523,2523
Fruits/Good Quality_Fruits/Apple_Good/20260529_170313.jpg,Apple,Good,Apple_Good,recolectada,2493,2553
Fruits/Good Quality_Fruits/Apple_Good/20260529_170324.jpg,Apple,Good,Apple_Good,recolectada,2344,2470
Fruits/Good Quality_Fruits/Apple_Good/20260529_170329.jpg,Apple,Good,Apple_Good,recolectada,2790,2884
Fruits/Good Quality_Fruits/Apple_Good/20260529_170336.jpg,Apple,Good,Apple_Good,recolectada,3000,3024
Fruits/Good Quality_Fruits/Apple_Good/20260529_170342.jpg,Apple,Good,Apple_Good,recolectada,3107,3024
Fruits/Good Quality_Fruits/Apple_Good/20260529_170551.jpg,Apple,Good,Apple_Good,recolectada,2948,2900
Fruits/Good Quality_Fruits/Apple_Good/20260529_170603.jpg,Apple,Good,Apple_Good,recolectada,2348,2297
Fruits/Good Quality_Fruits/Apple_Good/20260529_170610.jpg,Apple,Good,Apple_Good,recolectada,2420,2371
Fruits/Good Quality_Fruits/Apple_Good/20260529_170614.jpg,Apple,Good,Apple_Good,recolectada,2651,2639
Fruits/Good Quality_Fruits/Apple_Good/20260529_170621.jpg,Apple,Good,Apple_Good,recolectada,3064,3022
Fruits/Good Quality_Fruits/Apple_Good/20260529_170630.jpg,Apple,Good,Apple_Good,recolectada,2747,2813
Fruits/Good Quality_Fruits/Apple_Good/20260529_170633.jpg,Apple,Good,Apple_Good,recolectada,3352,3024
Fruits/Good Quality_Fruits/Apple_Good/20260529_170640.jpg,Apple,Good,Apple_Good,recolectada,2490,2549
Fruits/Good Quality_Fruits/Apple_Good/20260529_170647.jpg,Apple,Good,Apple_Good,recolectada,2703,2834
Fruits/Good Quality_Fruits/Apple_Good/20260529_170653.jpg,Apple,Good,Apple_Good,recolectada,2558,2558
Fruits/Good Quality_Fruits/Apple_Good/20260529_170729.jpg,Apple,Good,Apple_Good,recolectada,2997,3024
Fruits/Good Quality_Fruits/Apple_Good/20260529_170734.jpg,Apple,Good,Apple_Good,recolectada,3149,2966
Fruits/Good Quality_Fruits/Apple_Good/20260529_170741.jpg,Apple,Good,Apple_Good,recolectada,2821,2759
